survey_id,encounter_id,likelihood_to_recommend,staff_communication,cleanliness,overall,comments
S081536,E007371,3,3,3,5,Nurse was helpful
S786388,E005518,4,1,1,4,
S214557,E006802,4,2,5,3,
S363235,E001977,7,2,1,2,Long wait time
S228134,E000821,9,2,5,4,Long wait time
S204015,E003274,1,3,3,2,Facilities need improvement
S757554,E002433,7,1,1,1,Great care
S862167,E006277,6,2,4,4,Long wait time
S010486,E004620,8,3,3,4,
S528148,E003649,3,4,4,2,Facilities need improvement
S279648,E003109,4,4,4,4,Doctor explained well
S659509,E001201,5,1,2,4,Great care
S009695,E002254,1,5,2,4,Doctor explained well
S023860,E001038,8,3,4,2,Facilities need improvement
S701872,E005899,8,5,5,4,Doctor explained well
S986883,E004434,8,2,1,1,Nurse was helpful
S866979,E006598,10,5,1,1,Facilities need improvement
S734293,E003286,8,3,3,2,Facilities need improvement
S263528,E007076,2,3,2,1,Nurse was helpful
S378344,E000883,0,3,4,5,Long wait time
S902174,E007952,1,4,2,4,Long wait time
S826682,E007245,4,5,5,1,Facilities need improvement
S391927,E001603,4,5,5,4,Facilities need improvement
S472331,E004197,7,4,3,3,Facilities need improvement
S681221,E007619,10,1,4,4,Nurse was helpful
S370270,E000762,5,5,5,5,
S780360,E001487,2,4,5,5,Facilities need improvement
S025013,E002468,7,3,2,2,
S172006,E006729,6,3,2,1,Great care
S377840,E000182,9,1,3,5,Great care
S216162,E007650,4,5,5,1,Nurse was helpful
S103382,E007089,4,4,2,3,Facilities need improvement
S218256,E002238,8,4,2,5,
S630910,E004321,4,1,3,4,Doctor explained well
S807225,E000763,10,3,3,5,Long wait time
S143199,E000794,7,4,4,1,
S738791,E005349,7,2,2,5,Facilities need improvement
S817141,E003366,5,1,4,5,Nurse was helpful
S337050,E003489,4,3,2,5,Long wait time
S168543,E000774,3,3,3,1,
S396655,E004315,2,3,1,1,Great care
S115162,E002516,4,4,4,4,Doctor explained well
S561229,E000451,2,3,5,1,Doctor explained well
S802970,E001383,6,1,3,2,Nurse was helpful
S800864,E007793,7,1,1,2,Nurse was helpful
S812939,E005995,4,5,1,2,Great care
S477914,E000071,9,3,1,2,Doctor explained well
S988452,E006187,5,5,4,4,Facilities need improvement
S992258,E005435,5,2,5,4,Great care
S388099,E004493,9,4,3,5,Nurse was helpful
S678358,E006630,5,1,2,4,
S119896,E001326,4,3,3,1,
S949498,E004019,2,3,3,3,
S557910,E003575,3,1,3,4,Great care
S120758,E003160,1,4,1,2,Great care
S516702,E005684,2,5,2,2,Great care
S336872,E003314,6,3,2,1,Great care
S580166,E001554,3,3,1,4,Great care
S609517,E006674,5,4,1,2,Nurse was helpful
S530733,E006846,8,4,3,3,Nurse was helpful
S149500,E005335,10,4,2,2,
S890088,E007984,6,3,1,3,Doctor explained well
S554192,E000019,7,3,3,1,Long wait time
S324990,E004314,8,4,1,1,Nurse was helpful
S763361,E003906,6,3,2,4,Nurse was helpful
S821148,E002547,4,4,4,2,Facilities need improvement
S187723,E003556,0,1,5,3,
S686889,E003611,1,3,1,5,
S331647,E004995,3,2,5,1,Great care
S901379,E003208,4,2,5,1,Great care
S666915,E007122,10,5,3,4,Great care
S126934,E001913,1,5,4,2,Facilities need improvement
S012285,E004006,10,4,2,3,Nurse was helpful
S344678,E005233,10,4,5,4,Facilities need improvement
S509507,E007729,3,3,3,3,Facilities need improvement
S342671,E003921,9,1,5,5,Long wait time
S120359,E004857,10,2,3,4,Facilities need improvement
S251524,E005157,3,2,5,4,Nurse was helpful
S482291,E005151,8,1,3,2,Facilities need improvement
S890968,E006535,5,2,2,1,Long wait time
S515348,E000487,10,4,4,1,Facilities need improvement
S434696,E005347,4,4,2,5,Doctor explained well
S935700,E000876,9,5,1,4,
S483245,E005830,5,5,1,1,Nurse was helpful
S625046,E002945,2,3,1,1,Long wait time
S837327,E000746,3,2,1,1,Doctor explained well
S732566,E000989,10,5,2,2,Great care
S436274,E000592,10,1,5,1,Nurse was helpful
S366651,E006057,9,3,2,2,Nurse was helpful
S209570,E005516,2,3,2,5,Doctor explained well
S992768,E006164,4,1,2,3,
S446446,E005930,9,1,2,1,Nurse was helpful
S738049,E005091,1,4,2,2,Nurse was helpful
S788607,E002440,9,3,5,3,Great care
S680048,E006909,10,5,4,1,
S024492,E001086,5,1,2,5,Facilities need improvement
S700712,E001631,8,1,4,5,Long wait time
S646099,E004760,9,1,4,4,Long wait time
S171568,E007101,8,4,5,2,Great care
S872927,E004967,10,5,2,4,Nurse was helpful
S748721,E001807,2,1,1,2,Doctor explained well
S556786,E001064,2,4,1,3,Great care
S360954,E004108,4,1,2,4,Doctor explained well
S992085,E003442,4,3,2,1,Long wait time
S443274,E004877,0,1,5,4,Nurse was helpful
S230464,E003739,0,5,3,4,Nurse was helpful
S975861,E004337,7,4,5,5,Long wait time
S091759,E007910,7,1,5,2,Doctor explained well
S615227,E001598,5,3,5,1,
S287217,E003447,9,1,1,2,Facilities need improvement
S187277,E005056,6,5,5,4,
S340224,E007713,4,3,1,1,
S248641,E004960,7,3,3,4,Long wait time
S130896,E001587,2,2,3,2,Nurse was helpful
S426783,E001695,10,2,1,1,
S285986,E001620,9,3,1,2,Facilities need improvement
S163236,E001119,6,2,2,1,Nurse was helpful
S700609,E003010,3,2,3,1,
S568968,E001396,2,1,4,1,Long wait time
S042399,E007298,2,2,5,1,Great care
S292715,E000924,0,2,2,5,Great care
S831389,E006667,7,1,5,5,Doctor explained well
S113963,E001458,8,5,3,2,Nurse was helpful
S155569,E005641,2,3,1,1,Long wait time
S931854,E004453,0,1,3,3,
S580227,E004213,4,5,4,1,Nurse was helpful
S174427,E003376,8,4,2,3,Nurse was helpful
S616367,E007848,6,4,1,2,
S283185,E002078,9,5,2,5,Great care
S191450,E007400,10,1,5,1,Facilities need improvement
S896458,E003898,9,4,5,3,Great care
S113240,E003247,4,2,5,2,
S317753,E000520,0,2,5,3,
S521508,E007459,2,1,2,4,Facilities need improvement
S049387,E005268,6,4,3,2,Long wait time
S348834,E001162,10,1,5,1,Facilities need improvement
S283136,E001452,9,5,5,1,Long wait time
S088298,E006125,5,1,2,4,
S697074,E000721,8,4,4,4,Long wait time
S024295,E000590,6,4,5,2,Great care
S830642,E004664,2,1,4,4,Facilities need improvement
S064967,E007569,9,5,3,5,Nurse was helpful
S044497,E003493,8,5,2,4,Nurse was helpful
S114247,E006558,6,2,1,3,Great care
S307724,E000777,3,3,1,1,Long wait time
S521340,E006975,3,4,3,4,Long wait time
S850716,E001237,0,3,4,2,
S230262,E000423,6,4,3,3,Facilities need improvement
S756426,E006244,10,5,4,2,Great care
S182648,E003804,3,4,2,2,Facilities need improvement
S345179,E005512,2,3,4,1,Long wait time
S692922,E006206,2,2,1,5,Long wait time
S872424,E007817,3,3,3,1,Great care
S951092,E004616,3,2,5,1,Great care
S184484,E002034,9,3,1,5,Doctor explained well
S249400,E003415,3,3,5,2,Long wait time
S944214,E003605,1,3,2,2,Doctor explained well
S483113,E001343,1,4,1,4,Long wait time
S115663,E001243,7,1,2,2,Long wait time
S073653,E005840,6,4,3,5,
S093027,E006770,7,5,2,2,Doctor explained well
S847712,E007225,9,1,1,3,Doctor explained well
S817560,E001413,5,2,3,4,Facilities need improvement
S322128,E006735,1,2,5,1,Great care
S102637,E001561,5,3,4,2,Great care
S153690,E007903,1,1,1,3,Doctor explained well
S118799,E005707,10,5,5,5,Great care
S099429,E005713,3,2,2,2,
S281892,E006700,2,2,2,4,
S527961,E007184,1,2,2,3,Doctor explained well
S541646,E002280,0,5,2,2,Great care
S410346,E007189,3,4,2,3,
S536337,E003895,7,3,5,5,Great care
S814949,E004368,4,1,5,1,Facilities need improvement
S210214,E001185,2,2,4,4,Facilities need improvement
S906209,E001004,5,2,4,5,Doctor explained well
S338550,E000216,2,3,1,1,Doctor explained well
S891225,E003067,0,2,4,3,Doctor explained well
S197713,E001567,4,4,5,2,Facilities need improvement
S854340,E004979,2,4,1,5,Great care
S583680,E003461,10,3,4,1,Great care
S218260,E002965,6,2,2,2,Nurse was helpful
S113873,E002371,0,1,3,1,Nurse was helpful
S476579,E003534,9,4,5,3,
S185538,E004610,9,1,4,1,Nurse was helpful
S361211,E002613,8,1,3,3,Facilities need improvement
S683036,E004322,4,4,1,1,
S208504,E005871,6,2,4,1,Doctor explained well
S042581,E007948,10,2,3,1,Facilities need improvement
S425677,E006742,1,2,1,5,Facilities need improvement
S921900,E001838,2,3,4,3,Doctor explained well
S675987,E001636,0,2,3,1,Great care
S750373,E001356,7,3,5,1,Facilities need improvement
S359359,E004339,2,3,3,3,Doctor explained well
S040170,E003676,9,3,3,1,Doctor explained well
S085375,E004424,6,1,4,1,Doctor explained well
S464924,E006291,4,2,2,1,Great care
S729319,E001580,10,2,1,4,Nurse was helpful
S473671,E004946,1,4,4,2,Great care
S972647,E007363,4,5,3,1,Long wait time
S230668,E002482,10,5,1,4,Long wait time
S567197,E005498,6,4,4,5,
S072156,E004372,0,2,2,1,
S286645,E004783,4,4,4,3,Nurse was helpful
S925936,E003042,2,4,2,1,Long wait time
S221139,E005326,8,2,5,3,Great care
S500827,E003076,0,3,4,5,
S332681,E000454,10,3,3,1,Nurse was helpful
S997284,E005035,6,5,4,3,Long wait time
S269630,E002684,2,3,5,1,Doctor explained well
S102216,E004915,1,5,1,5,Doctor explained well
S735946,E004265,10,5,4,3,Great care
S928168,E005000,1,1,1,3,Great care
S320105,E003776,3,1,2,5,Doctor explained well
S143570,E006703,2,2,2,2,Long wait time
S190934,E007968,10,4,2,3,Long wait time
S912077,E000189,2,3,3,1,
S386178,E002534,8,1,3,4,Facilities need improvement
S404130,E003111,5,5,5,3,Long wait time
S981594,E007306,8,2,3,2,Great care
S405364,E007412,0,2,5,1,Nurse was helpful
S235261,E005581,10,3,4,2,Nurse was helpful
S155903,E003391,1,2,1,4,Nurse was helpful
S828525,E002658,4,1,2,2,Long wait time
S232445,E002586,5,5,3,5,Great care
S889904,E007543,10,4,3,3,
S440012,E002289,3,2,1,3,Facilities need improvement
S190304,E004381,0,1,1,1,Nurse was helpful
S149380,E006908,8,3,4,4,
S834640,E002530,0,1,3,4,Long wait time
S242901,E004786,2,3,1,5,Doctor explained well
S678252,E003180,7,4,1,2,Facilities need improvement
S619124,E003446,8,2,2,5,Doctor explained well
S245011,E000915,5,2,2,5,Facilities need improvement
S672828,E004839,2,1,3,5,Great care
S344331,E001891,4,4,5,1,Facilities need improvement
S165084,E007392,9,3,4,1,Great care
S204745,E003963,8,2,2,1,Nurse was helpful
S699744,E004233,6,4,4,5,Great care
S807470,E004853,8,4,2,5,Facilities need improvement
S825724,E006253,4,1,4,1,Facilities need improvement
S760598,E005999,10,2,3,4,Nurse was helpful
S118548,E001427,1,4,5,3,Facilities need improvement
S119858,E004356,3,4,4,3,Facilities need improvement
S105762,E001866,5,1,1,1,Nurse was helpful
S492321,E006081,0,2,3,2,Long wait time
S106051,E001983,7,2,4,5,Doctor explained well
S595191,E002885,10,1,1,1,Facilities need improvement
S197454,E004375,7,4,5,1,Long wait time
S361476,E002480,9,1,1,5,Facilities need improvement
S848597,E004279,3,3,3,5,Long wait time
S806392,E003243,10,5,5,1,Doctor explained well
S133658,E005239,10,4,2,4,Doctor explained well
S215157,E003187,1,5,3,5,Nurse was helpful
S888183,E005465,4,4,3,4,Great care
S891149,E000828,8,3,2,4,
S193926,E003950,3,4,1,1,Nurse was helpful
S428960,E004606,1,3,1,2,
S838096,E004124,1,1,3,4,Facilities need improvement
S159146,E000381,8,3,4,3,Nurse was helpful
S974468,E007494,5,1,3,1,Doctor explained well
S828878,E001839,8,5,1,4,Nurse was helpful
S398251,E003602,7,5,4,1,Facilities need improvement
S445197,E004489,4,2,5,1,
S751249,E002539,9,2,2,2,Doctor explained well
S262232,E001123,9,3,2,3,Facilities need improvement
S496951,E007027,8,3,2,5,
S646478,E005034,10,5,3,3,
S708503,E006223,1,2,1,2,Doctor explained well
S462847,E002456,3,5,2,3,Doctor explained well
S165779,E000532,6,1,5,1,Doctor explained well
S252677,E000414,0,4,5,2,Facilities need improvement
S121903,E006006,7,3,1,3,Doctor explained well
S468102,E004936,10,4,2,4,
S447322,E004426,7,2,5,5,Doctor explained well
S839066,E005528,9,5,5,2,Facilities need improvement
S624809,E002144,3,5,2,2,Great care
S361469,E004264,4,5,5,4,Long wait time
S300854,E000744,8,3,1,1,Doctor explained well
S035534,E004997,10,1,2,3,
S120684,E001090,7,2,4,1,Facilities need improvement
S592393,E001410,5,2,5,3,
S374629,E006408,5,1,5,1,
S938088,E007778,9,5,4,3,Facilities need improvement
S093970,E000180,9,4,3,2,Doctor explained well
S315879,E005026,2,4,1,5,Great care
S608539,E001454,6,1,2,3,Long wait time
S914554,E002706,0,2,4,1,Great care
S560968,E000438,5,1,1,3,Great care
S152093,E007577,9,4,5,4,
S167410,E001858,4,4,4,3,Facilities need improvement
S914782,E002776,1,1,4,1,Great care
S098233,E004130,10,2,1,5,Doctor explained well
S856211,E007945,2,2,2,5,Nurse was helpful
S059869,E005367,4,4,1,4,
S285017,E002690,4,2,2,2,Long wait time
S471555,E005942,0,1,2,3,Doctor explained well
S997550,E001705,10,1,2,3,Great care
S924323,E004031,10,1,1,5,Facilities need improvement
S556793,E003930,7,1,2,1,Nurse was helpful
S007379,E000246,1,2,3,2,Doctor explained well
S356786,E005304,1,3,2,3,Facilities need improvement
S835392,E003573,7,2,2,2,Facilities need improvement
S070335,E007338,4,4,2,4,Doctor explained well
S830272,E004529,8,5,1,2,Nurse was helpful
S021379,E001907,10,5,4,1,Doctor explained well
S877548,E000051,8,4,2,3,
S367869,E003592,7,4,3,4,Long wait time
S761783,E006272,7,3,5,1,Great care
S314252,E000322,7,5,1,4,Nurse was helpful
S090382,E007224,0,1,1,4,
S086887,E006902,2,2,1,2,Nurse was helpful
S333367,E006950,4,1,3,4,Nurse was helpful
S216574,E005310,8,4,4,3,Great care
S933916,E001216,6,1,3,3,Nurse was helpful
S895252,E000479,3,1,3,5,Doctor explained well
S668473,E006827,2,3,2,3,Nurse was helpful
S340479,E006269,6,1,1,4,Facilities need improvement
S205028,E006749,4,3,5,1,Long wait time
S462995,E004107,5,3,2,3,Facilities need improvement
S947385,E000300,2,3,2,2,Doctor explained well
S075278,E006134,3,4,5,4,Great care
S778166,E002368,3,3,2,5,Doctor explained well
S094739,E005873,0,5,1,1,Doctor explained well
S083614,E005727,4,2,5,5,Long wait time
S835181,E003023,8,4,3,1,Long wait time
S834249,E002377,7,3,3,2,Facilities need improvement
S189508,E003156,8,4,2,5,Facilities need improvement
S827799,E004469,8,5,1,3,Great care
S823439,E005976,10,3,2,5,Nurse was helpful
S487406,E005665,10,3,5,1,Long wait time
S293257,E005371,9,2,4,3,Long wait time
S064146,E006973,6,5,1,3,Doctor explained well
S001621,E000232,1,1,5,3,Long wait time
S452001,E003616,8,3,2,5,Long wait time
S835045,E005108,5,4,4,5,Long wait time
S000052,E004227,0,5,1,3,Long wait time
S658622,E002129,10,3,1,2,Nurse was helpful
S406381,E007393,0,4,1,2,Nurse was helpful
S878170,E006070,9,5,4,4,
S811135,E001761,8,5,1,2,Nurse was helpful
S144804,E005619,5,5,4,1,Long wait time
S626949,E006855,9,3,3,3,Facilities need improvement
S126649,E002773,5,5,3,3,Nurse was helpful
S087491,E005882,1,5,2,2,Nurse was helpful
S105011,E005434,8,1,3,5,Doctor explained well
S531449,E002544,9,1,3,5,Doctor explained well
S269420,E002464,0,4,5,1,Long wait time
S713500,E004350,1,5,2,2,Great care
S383838,E007689,9,3,4,2,Nurse was helpful
S290583,E003685,9,3,2,1,Nurse was helpful
S149065,E001884,10,5,1,5,Doctor explained well
S503316,E003249,1,1,1,1,Long wait time
S830256,E005386,9,3,1,5,
S917558,E001024,9,1,5,4,Nurse was helpful
S767160,E006838,4,1,1,1,Long wait time
S898401,E007792,2,5,4,5,Long wait time
S020540,E004804,3,3,3,3,Facilities need improvement
S383279,E007873,7,4,3,3,
S266775,E007460,2,3,1,1,
S113469,E002558,1,2,5,4,Great care
S875039,E006144,10,1,1,1,Long wait time
S398025,E002410,4,5,5,5,Long wait time
S746336,E003378,8,3,1,3,Long wait time
S321367,E000200,6,4,3,4,
S841718,E006285,7,3,1,1,Nurse was helpful
S544602,E004191,0,4,3,1,
S784284,E004114,8,2,5,5,Facilities need improvement
S812014,E006444,2,4,2,2,Long wait time
S580796,E003321,0,1,2,1,Doctor explained well
S874142,E000387,6,3,4,2,Facilities need improvement
S178060,E005271,8,3,4,2,Long wait time
S301396,E003046,10,3,1,4,Long wait time
S293760,E000316,10,1,5,4,Long wait time
S068762,E002831,5,5,4,1,Doctor explained well
S602926,E007417,4,2,2,3,Great care
S586177,E005164,10,3,3,3,Doctor explained well
S276398,E006089,5,1,5,4,Facilities need improvement
S570368,E003594,9,4,5,3,
S849433,E002478,8,5,1,1,Long wait time
S327552,E000574,10,1,5,3,Nurse was helpful
S295002,E000170,10,1,2,5,Long wait time
S540048,E002047,7,5,2,1,Doctor explained well
S952937,E003129,1,1,3,4,Long wait time
S658563,E002871,4,5,4,1,Facilities need improvement
S083476,E007754,2,1,3,2,Facilities need improvement
S931682,E003540,1,3,2,3,Great care
S519884,E004563,4,4,5,1,Doctor explained well
S259016,E000805,7,4,1,2,Doctor explained well
S560968,E002483,9,3,4,2,Facilities need improvement
S400324,E005285,10,1,5,1,Facilities need improvement
S721658,E002372,9,3,5,4,Great care
S415729,E002067,1,5,1,4,Facilities need improvement
S996708,E007035,10,1,1,1,Doctor explained well
S849178,E006205,7,4,4,2,
S351910,E001814,9,1,4,5,Long wait time
S010280,E001179,4,1,4,5,Long wait time
S553520,E005314,9,1,4,4,
S053683,E001354,6,3,5,4,Doctor explained well
S449463,E004098,1,3,5,3,Long wait time
S497388,E007032,8,3,4,4,Great care
S500607,E000358,2,5,4,5,Long wait time
S418806,E002862,6,4,1,4,
S368415,E005095,2,3,2,3,Facilities need improvement
S729727,E007571,4,4,5,5,Great care
S445873,E003560,8,3,1,3,Great care
S497041,E000583,0,5,2,3,Nurse was helpful
S204376,E000640,2,5,4,5,Nurse was helpful
S624626,E005951,2,5,3,5,Nurse was helpful
S167130,E006066,10,1,3,2,Facilities need improvement
S419830,E004689,3,2,1,4,Long wait time
S853608,E003639,1,1,1,1,
S580498,E005032,8,3,5,5,Facilities need improvement
S254028,E004340,3,2,3,2,
S367991,E000619,7,5,2,1,
S266737,E004141,0,3,1,3,Great care
S485694,E003958,5,5,5,2,Facilities need improvement
S978002,E000408,7,3,4,3,Facilities need improvement
S604938,E003255,0,2,3,3,
S924872,E006111,10,5,1,3,Long wait time
S014430,E006751,10,1,2,5,
S346336,E001391,9,3,5,2,Facilities need improvement
S985749,E006360,6,3,3,5,Doctor explained well
S622465,E005982,8,5,4,3,
S324401,E006523,4,4,4,5,Nurse was helpful
S429461,E006702,6,5,2,2,Doctor explained well
S149235,E002657,1,3,1,4,
S310115,E005200,0,3,3,2,Doctor explained well
S857840,E005883,9,2,1,4,
S501510,E003856,7,2,3,3,Facilities need improvement
S779277,E001342,5,2,1,3,
S637796,E007711,0,3,1,2,
S737280,E003480,8,1,5,1,Doctor explained well
S894695,E007536,1,2,2,5,Long wait time
S837890,E002266,6,3,5,1,
S605533,E005755,9,1,5,4,Doctor explained well
S421984,E003708,8,5,4,4,Facilities need improvement
S036783,E006048,4,3,3,1,Facilities need improvement
S977990,E002941,2,2,3,4,Nurse was helpful
S613136,E004923,4,3,3,5,Facilities need improvement
S730335,E007668,8,5,1,5,Great care
S235042,E007875,2,5,3,2,Doctor explained well
S968374,E002881,3,4,1,3,Long wait time
S070492,E003703,8,5,5,3,Great care
S934313,E003741,8,4,2,3,Nurse was helpful
S722374,E005462,0,3,2,4,Facilities need improvement
S899441,E001072,6,1,2,5,
S710514,E006988,4,3,4,5,Nurse was helpful
S043541,E000409,9,2,1,2,Long wait time
S533629,E004951,8,3,1,1,
S712793,E004519,4,3,5,3,Doctor explained well
S139035,E002392,9,5,5,4,Doctor explained well
S957308,E006366,3,5,4,3,Doctor explained well
S140014,E001725,5,5,5,1,Long wait time
S946290,E007026,6,3,4,4,Nurse was helpful
S713110,E000477,6,3,2,2,Nurse was helpful
S535334,E004623,0,5,3,4,Great care
S941561,E004530,2,2,3,5,
S007832,E007550,1,2,4,4,Long wait time
S678124,E001207,9,2,4,1,Nurse was helpful
S763556,E007925,5,1,5,1,Great care
S856082,E004963,6,4,1,1,Great care
S361287,E004218,9,1,1,4,Great care
S810689,E006425,4,1,5,4,Great care
S354579,E005297,3,2,4,5,
S312350,E004754,9,3,4,1,Long wait time
S383678,E002485,7,1,5,4,
S840465,E007892,7,2,5,2,Nurse was helpful
S137378,E002325,8,1,2,2,Nurse was helpful
S489419,E006018,8,1,2,5,Great care
S045916,E005441,0,5,1,2,Facilities need improvement
S222921,E005646,7,1,5,1,Nurse was helpful
S095495,E002373,6,5,5,3,
S043922,E006407,3,5,1,3,Doctor explained well
S132767,E001424,6,5,3,4,
S085739,E004487,2,3,3,5,Great care
S168863,E004560,10,3,4,3,Doctor explained well
S235726,E000142,1,3,1,5,Doctor explained well
S221702,E001094,4,1,3,5,Long wait time
S178186,E006649,6,4,2,5,Great care
S463104,E007776,4,1,3,4,Facilities need improvement
S899961,E002194,7,3,5,1,Great care
S701109,E003637,3,2,2,3,Doctor explained well
S390878,E001756,5,2,3,2,Nurse was helpful
S350244,E004776,7,3,5,3,Nurse was helpful
S299654,E001203,4,3,3,1,Doctor explained well
S745346,E005815,3,5,5,4,Facilities need improvement
S166275,E007899,7,3,5,4,Nurse was helpful
S267204,E000948,0,3,3,5,Nurse was helpful
